# Scalar ASCII output created by CarpetIOScalar
# created on nid22248 by elihu on Apr 24 2017 at 19:17:53-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0000/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
# Run ID: run-J0040_N40-nid22248-elihu-2017.04.25-00.15.02-4471
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 8.6207472471582e-15 1.62104953298638e-14 9.70179111865345e-15
256 0.432 8.6207472471582e-15 1.62104953298638e-14 9.70179111865345e-15
512 0.864 8.6143991688058e-15 1.62004198399352e-14 9.69544576606851e-15
768 1.296 8.61526045735754e-15 1.62086787851847e-14 9.69626647517913e-15
1024 1.728 8.62082115319179e-15 1.62409602062434e-14 9.70283163781361e-15
1280 2.16 8.64668401797841e-15 1.63019578323117e-14 9.72936631200873e-15
1536 2.592 1.56694576670811e-11 1.4241409027006e-11 9.77877658906048e-15
1792 3.024 1.88399179473363e-11 1.60502118358878e-11 2.56996023371336e-12
2048 3.456 4.81640662807299e-12 4.68643973052594e-12 4.83087110556355e-12
2304 3.888 4.54215926113083e-11 4.24589967199846e-11 6.90819677579805e-12
2560 4.32 4.18501677737961e-11 3.62944072281112e-11 7.33240965117308e-12
2816 4.752 2.21349367769502e-11 2.1791475986588e-11 1.37960294806288e-11
3072 5.184 6.39358687150127e-11 6.08844856790185e-11 1.58532422400848e-11
3328 5.616 6.11895925688541e-11 5.47698154278519e-11 1.91025820164876e-11
3584 6.048 5.48399036549175e-11 5.33341587748667e-11 2.97943998939392e-11
3840 6.48 8.07681072696676e-11 7.78429612201754e-11 2.37224052206415e-11
4096 6.912 8.47244323582879e-11 7.73036763775268e-11 3.40885211981043e-11
4352 7.344 9.10049480225714e-11 8.88809120444635e-11 5.40995723321259e-11
4608 7.776 9.68484261608573e-11 9.49702944652323e-11 4.20745148319398e-11
4864 8.208 9.87247144085296e-11 9.14689901188231e-11 4.64697293739412e-11
5120 8.64 1.09976705402656e-10 1.194709115747e-10 8.40703155171112e-11
5376 9.072 1.16393299246399e-10 1.15263542707073e-10 6.58519639099673e-11
5632 9.504 1.15435596957208e-10 1.09550686644983e-10 6.42819888673868e-11
5888 9.936 1.29747764989285e-10 1.39963932046578e-10 1.06128459874029e-10
6144 10.368 1.35043552710492e-10 1.34263505138568e-10 8.86949196167697e-11
6400 10.8 1.48443619458725e-10 1.43468738503259e-10 9.76761867321049e-11
6656 11.232 1.49954350802037e-10 1.59365186155075e-10 1.26988445650208e-10
6912 11.664 1.78849188617872e-10 1.76784422479801e-10 1.33678027277349e-10
7168 12.096 1.8017056274905e-10 1.79161506530176e-10 1.34859374556579e-10
7424 12.528 783.516391312308 783.516391312321 783.516391312293
7680 12.96 42.1007110770956 42.1007110770937 42.1010764182489
7936 13.392 2.0777813562932e-10 2.14191989950478e-10 1.69973087569189e-10
8192 13.824 783.516391438979 783.516391439015 783.51639143899
8448 14.256 81.500223651816 81.5002236518223 81.500588993004
8704 14.688 2.29947925517931e-10 2.4192235999904e-10 1.99987771163804e-10
8960 15.12 1567.03278287208 1567.03278287213 1567.0327828721
9216 15.552 244.500670950939 244.500670950943 244.50088615185
9472 15.984 163.000447300753 163.000447300751 163.000447300732
9728 16.416 1567.03278290392 1567.03278290399 1567.03278290397
9984 16.848 407.501118265182 407.501118265177 407.501242025579
10240 17.28 326.000894632607 326.00089463261 326.000894632619
10496 17.712 1573.85700227302 1573.85700227309 1572.15094745527
10752 18.144 1059.48411264648 892.181268093224 581.045762485699
11008 18.576 757.243015449574 489.001341972624 489.001341972639
